,rh,Tair,Tw
0,0.5,49.200000000000344,16.88
1,1.0,49.10000000000034,17.28
2,1.5,49.10000000000034,17.7
3,2.0,49.10000000000034,18.1
4,2.5,49.00000000000034,18.45
5,3.0,49.00000000000034,18.82
6,3.5,49.00000000000034,19.19
7,4.0,49.00000000000034,19.55
8,4.5,48.90000000000034,19.85
9,5.0,48.90000000000034,20.2
10,5.5,48.90000000000034,20.53
11,6.0,48.80000000000034,20.81
12,6.5,48.80000000000034,21.14
13,7.0,48.80000000000034,21.45
14,7.5,48.80000000000034,21.76
15,8.0,48.70000000000034,22.02
16,8.5,48.70000000000034,22.32
17,9.0,48.70000000000034,22.62
18,9.5,48.600000000000335,22.85
19,10.0,48.600000000000335,23.14
20,10.5,48.600000000000335,23.42
21,11.0,48.500000000000334,23.64
22,11.5,48.500000000000334,23.91
23,12.0,48.40000000000033,24.12
24,12.5,48.40000000000033,24.39
25,13.0,48.40000000000033,24.65
26,13.5,48.30000000000033,24.85
27,14.0,48.30000000000033,25.1
28,14.5,48.30000000000033,25.35
29,15.0,48.20000000000033,25.53
30,15.5,48.20000000000033,25.78
31,16.0,48.10000000000033,25.95
32,16.5,48.10000000000033,26.19
33,17.0,48.00000000000033,26.36
34,17.5,48.00000000000033,26.59
35,18.0,47.900000000000325,26.75
36,18.5,47.900000000000325,26.98
37,19.0,47.800000000000324,27.13
38,19.5,47.800000000000324,27.36
39,20.0,47.70000000000032,27.5
40,20.5,47.70000000000032,27.72
41,21.0,47.60000000000032,27.86
42,21.5,47.60000000000032,28.07
43,22.0,47.50000000000032,28.21
44,22.5,47.50000000000032,28.41
45,23.0,47.40000000000032,28.54
46,23.5,47.30000000000032,28.67
47,24.0,47.30000000000032,28.87
48,24.5,47.200000000000315,28.99
49,25.0,47.200000000000315,29.19
50,25.5,47.100000000000314,29.3
51,26.0,47.00000000000031,29.42
52,26.5,47.00000000000031,29.61
53,27.0,46.90000000000031,29.72
54,27.5,46.80000000000031,29.82
55,28.0,46.80000000000031,30.01
56,28.5,46.70000000000031,30.11
57,29.0,46.60000000000031,30.21
58,29.5,46.500000000000306,30.31
59,30.0,46.500000000000306,30.48
60,30.5,46.400000000000304,30.58
61,31.0,46.3000000000003,30.67
62,31.5,46.2000000000003,30.76
63,32.0,46.2000000000003,30.93
64,32.5,46.1000000000003,31.02
65,33.0,46.0000000000003,31.1
66,33.5,45.9000000000003,31.18
67,34.0,45.800000000000296,31.26
68,34.5,45.700000000000294,31.34
69,35.0,45.700000000000294,31.5
70,35.5,45.60000000000029,31.58
71,36.0,45.50000000000029,31.65
72,36.5,45.40000000000029,31.72
73,37.0,45.30000000000029,31.79
74,37.5,45.20000000000029,31.86
75,38.0,45.100000000000286,31.93
76,38.5,45.000000000000284,31.99
77,39.0,44.90000000000028,32.06
78,39.5,44.80000000000028,32.12
79,40.0,44.80000000000028,32.27
80,40.5,44.70000000000028,32.32
81,41.0,44.60000000000028,32.38
82,41.5,44.50000000000028,32.44
83,42.0,44.400000000000276,32.49
84,42.5,44.300000000000274,32.55
85,43.0,44.20000000000027,32.6
86,43.5,44.10000000000027,32.65
87,44.0,44.00000000000027,32.7
88,44.5,43.90000000000027,32.75
89,45.0,43.80000000000027,32.8
90,45.5,43.700000000000266,32.84
91,46.0,43.600000000000264,32.89
92,46.5,43.50000000000026,32.93
93,47.0,43.40000000000026,32.97
94,47.5,43.30000000000026,33.01
95,48.0,43.20000000000026,33.05
96,48.5,43.10000000000026,33.09
97,49.0,43.000000000000256,33.13
98,49.5,42.900000000000254,33.16
99,50.0,42.80000000000025,33.2
100,50.5,42.70000000000025,33.23
101,51.0,42.60000000000025,33.27
102,51.5,42.50000000000025,33.3
103,52.0,42.40000000000025,33.33
104,52.5,42.300000000000246,33.36
105,53.0,42.200000000000244,33.39
106,53.5,42.10000000000024,33.41
107,54.0,42.00000000000024,33.44
108,54.5,42.00000000000024,33.56
109,55.0,42.00000000000024,33.67
110,55.5,41.90000000000024,33.69
111,56.0,41.80000000000024,33.72
112,56.5,41.70000000000024,33.74
113,57.0,41.600000000000236,33.76
114,57.5,41.500000000000234,33.78
115,58.0,41.40000000000023,33.8
116,58.5,41.30000000000023,33.82
117,59.0,41.20000000000023,33.84
118,59.5,41.10000000000023,33.85
119,60.0,41.00000000000023,33.87
120,60.5,40.900000000000226,33.88
121,61.0,40.800000000000225,33.9
122,61.5,40.70000000000022,33.91
123,62.0,40.60000000000022,33.92
124,62.5,40.50000000000022,33.94
125,63.0,40.40000000000022,33.95
126,63.5,40.30000000000022,33.96
127,64.0,40.30000000000022,34.06
128,64.5,40.200000000000216,34.07
129,65.0,40.100000000000215,34.07
130,65.5,40.00000000000021,34.08
131,66.0,39.90000000000021,34.09
132,66.5,39.80000000000021,34.09
133,67.0,39.70000000000021,34.1
134,67.5,39.60000000000021,34.1
135,68.0,39.500000000000206,34.11
136,68.5,39.400000000000205,34.11
137,69.0,39.3000000000002,34.11
138,69.5,39.3000000000002,34.21
139,70.0,39.2000000000002,34.21
140,70.5,39.1000000000002,34.21
141,71.0,39.0000000000002,34.21
142,71.5,38.9000000000002,34.2
143,72.0,38.800000000000196,34.2
144,72.5,38.800000000000196,34.29
145,73.0,38.700000000000195,34.29
146,73.5,38.60000000000019,34.29
147,74.0,38.50000000000019,34.28
148,74.5,38.40000000000019,34.28
149,75.0,38.30000000000019,34.27
150,75.5,38.30000000000019,34.36
151,76.0,38.20000000000019,34.35
152,76.5,38.100000000000186,34.35
153,77.0,38.000000000000185,34.34
154,77.5,37.90000000000018,34.33
155,78.0,37.90000000000018,34.42
156,78.5,37.80000000000018,34.41
157,79.0,37.70000000000018,34.4
158,79.5,37.60000000000018,34.39
159,80.0,37.60000000000018,34.47
160,80.5,37.50000000000018,34.46
161,81.0,37.400000000000176,34.45
162,81.5,37.300000000000175,34.43
163,82.0,37.300000000000175,34.52
164,82.5,37.20000000000017,34.5
165,83.0,37.10000000000017,34.49
166,83.5,37.00000000000017,34.47
167,84.0,37.00000000000017,34.55
168,84.5,36.90000000000017,34.54
169,85.0,36.80000000000017,34.52
170,85.5,36.700000000000166,34.5
171,86.0,36.700000000000166,34.58
172,86.5,36.600000000000165,34.57
173,87.0,36.50000000000016,34.55
174,87.5,36.50000000000016,34.63
175,88.0,36.40000000000016,34.61
176,88.5,36.30000000000016,34.59
177,89.0,36.20000000000016,34.57
178,89.5,36.20000000000016,34.64
179,90.0,36.10000000000016,34.62
180,90.5,36.000000000000156,34.6
181,91.0,36.000000000000156,34.68
182,91.5,35.900000000000155,34.65
183,92.0,35.80000000000015,34.63
184,92.5,35.80000000000015,34.71
185,93.0,35.70000000000015,34.68
186,93.5,35.60000000000015,34.66
187,94.0,35.60000000000015,34.73
188,94.5,35.50000000000015,34.71
189,95.0,35.40000000000015,34.68
190,95.5,35.40000000000015,34.75
191,96.0,35.300000000000146,34.73
192,96.5,35.300000000000146,34.8
193,97.0,35.200000000000145,34.77
194,97.5,35.10000000000014,34.74
195,98.0,35.10000000000014,34.82
196,98.5,35.00000000000014,34.79
197,99.0,34.90000000000014,34.76
198,99.5,34.90000000000014,34.83
199,100.0,34.80000000000014,34.8
